Home Team,Away Team,Kick Off,Stadium,Competition,SkySportsURL
Port Vale,Burton Albion,2023-09-09 15:00:00,Vale Park, Sky Bet League One,https://www.skysports.com/football/port-vale-vs-burton-albion/483676
Barnsley,Burton Albion,2023-09-16 15:00:00,Oakwell Stadium, Sky Bet League One,https://www.skysports.com/football/barnsley-vs-burton-albion/483682
Burton Albion,Fleetwood Town,2023-09-23 15:00:00,Pirelli Stadium, Sky Bet League One,https://www.skysports.com/football/burton-albion-vs-fleetwood-town/483697
Burton Albion,Everton U21,2023-09-26 19:00:00,Pirelli Stadium, EFL Trophy Northern Group H,https://www.skysports.com/football/burton-albion-vs-everton-u21/495057
Reading,Burton Albion,2023-09-30 15:00:00,Select Car Leasing Stadium, Sky Bet League One,https://www.skysports.com/football/reading-vs-burton-albion/483713
Burton Albion,Wigan Athletic,2023-10-03 19:45:00,Pirelli Stadium, Sky Bet League One,https://www.skysports.com/football/burton-albion-vs-wigan-athletic/483721
Burton Albion,Cambridge United,2023-10-09 20:00:00,Pirelli Stadium, Sky Bet League One,https://www.skysports.com/football/burton-albion-vs-cambridge-united/483731
Lincoln City,Burton Albion,2023-10-14 15:00:00,LNER Stadium, Sky Bet League One,https://www.skysports.com/football/lincoln-city-vs-burton-albion/483748
Burton Albion,Bristol Rovers,2023-10-21 15:00:00,Pirelli Stadium, Sky Bet League One,https://www.skysports.com/football/burton-albion-vs-bristol-rovers/483755
Carlisle United,Burton Albion,2023-10-24 19:45:00,Brunton Park, Sky Bet League One,https://www.skysports.com/football/carlisle-united-vs-burton-albion/483770
Burton Albion,Leyton Orient,2023-10-28 15:00:00,Pirelli Stadium, Sky Bet League One,https://www.skysports.com/football/burton-albion-vs-leyton-orient/483781
Doncaster Rovers,Burton Albion,2023-11-07 19:00:00,Eco-Power Stadium, EFL Trophy Northern Group H,https://www.skysports.com/football/doncaster-rovers-vs-burton-albion/495067
Northampton Town,Burton Albion,2023-11-11 15:00:00,PTS Academy Stadium, Sky Bet League One,https://www.skysports.com/football/northampton-town-vs-burton-albion/483797
Burton Albion,Mansfield Town,2023-11-14 19:00:00,Pirelli Stadium, EFL Trophy Northern Group H,https://www.skysports.com/football/burton-albion-vs-mansfield-town/495100
Burton Albion,Cheltenham Town,2023-11-18 15:00:00,Pirelli Stadium, Sky Bet League One,https://www.skysports.com/football/burton-albion-vs-cheltenham-town/483805
Peterborough United,Burton Albion,2023-11-25 15:00:00,Weston Homes Stadium, Sky Bet League One,https://www.skysports.com/football/peterborough-united-vs-burton-albion/483822
Burton Albion,Portsmouth,2023-11-28 19:45:00,Pirelli Stadium, Sky Bet League One,https://www.skysports.com/football/burton-albion-vs-portsmouth/483829
Burton Albion,Stevenage,2023-12-09 15:00:00,Pirelli Stadium, Sky Bet League One,https://www.skysports.com/football/burton-albion-vs-stevenage/483840
Oxford United,Burton Albion,2023-12-16 15:00:00,The Kassam Stadium, Sky Bet League One,https://www.skysports.com/football/oxford-united-vs-burton-albion/483858
Charlton Athletic,Burton Albion,2023-12-23 15:00:00,The Valley, Sky Bet League One,https://www.skysports.com/football/charlton-athletic-vs-burton-albion/483867
Burton Albion,Blackpool,2023-12-26 15:00:00,Pirelli Stadium, Sky Bet League One,https://www.skysports.com/football/burton-albion-vs-blackpool/483875
Burton Albion,Shrewsbury Town,2023-12-29 19:45:00,Pirelli Stadium, Sky Bet League One,https://www.skysports.com/football/burton-albion-vs-shrewsbury-town/483887
Bolton Wanderers,Burton Albion,2024-01-01 15:00:00,University of Bolton Stadium, Sky Bet League One,https://www.skysports.com/football/bolton-wanderers-vs-burton-albion/483900
Burton Albion,Wycombe Wanderers,2024-01-06 15:00:00,Pirelli Stadium, Sky Bet League One,https://www.skysports.com/football/burton-albion-vs-wycombe-wanderers/483911
