Home Team,Away Team,Kick Off,Date,Stadium,Competition
Bolton Wanderers,Derby County,3:00pm, Saturday 2nd September 2023,University of Bolton Stadium, Sky Bet League One
Derby County,Portsmouth,3:00pm, Saturday 16th September 2023,Pride Park Stadium, Sky Bet League One
Derby County,Lincoln City,7:00pm, Tuesday 19th September 2023,Pride Park Stadium, EFL Trophy Northern Group G
Carlisle United,Derby County,3:00pm, Saturday 23rd September 2023,Brunton Park, Sky Bet League One
Derby County,Cambridge United,3:00pm, Saturday 30th September 2023,Pride Park Stadium, Sky Bet League One
Blackpool,Derby County,7:45pm, Tuesday 3rd October 2023,Bloomfield Road, Sky Bet League One
Cheltenham Town,Derby County,3:00pm, Saturday 7th October 2023,Whaddon Road Ground, Sky Bet League One
Notts County,Derby County,7:00pm, Tuesday 10th October 2023,Meadow Lane, EFL Trophy Northern Group G
Derby County,Charlton Athletic,3:00pm, Saturday 14th October 2023,Pride Park Stadium, Sky Bet League One
Shrewsbury Town,Derby County,3:00pm, Saturday 21st October 2023,Montgomery Waters Meadow, Sky Bet League One
Derby County,Exeter City,7:45pm, Tuesday 24th October 2023,Pride Park Stadium, Sky Bet League One
Stevenage,Derby County,3:00pm, Saturday 28th October 2023,Lamex Stadium, Sky Bet League One
Derby County,Northampton Town,7:45pm, Tuesday 31st October 2023,Pride Park Stadium, Sky Bet League One
Derby County,Wolverhampton Wanderers U21,7:00pm, Tuesday 7th November 2023,Pride Park Stadium, EFL Trophy Northern Group G
Derby County,Barnsley,3:00pm, Saturday 11th November 2023,Pride Park Stadium, Sky Bet League One
Reading,Derby County,3:00pm, Saturday 18th November 2023,Select Car Leasing Stadium, Sky Bet League One
Derby County,Bristol Rovers,3:00pm, Saturday 25th November 2023,Pride Park Stadium, Sky Bet League One
Port Vale,Derby County,7:45pm, Tuesday 28th November 2023,Vale Park, Sky Bet League One
Leyton Orient,Derby County,3:00pm, Saturday 9th December 2023,Breyer Group Stadium, Sky Bet League One
Derby County,Wycombe Wanderers,3:00pm, Saturday 16th December 2023,Pride Park Stadium, Sky Bet League One
Derby County,Lincoln City,7:45pm, Thursday 21st December 2023,Pride Park Stadium, Sky Bet League One
Wigan Athletic,Derby County,3:00pm, Tuesday 26th December 2023,DW Stadium, Sky Bet League One
Oxford United,Derby County,7:45pm, Friday 29th December 2023,The Kassam Stadium, Sky Bet League One
Derby County,Peterborough United,3:00pm, Monday 1st January 2024,Pride Park Stadium, Sky Bet League One
Fleetwood Town,Derby County,3:00pm, Saturday 6th January 2024,Highbury Stadium, Sky Bet League One
Derby County,Burton Albion,3:00pm, Saturday 13th January 2024,Pride Park Stadium, Sky Bet League One
Lincoln City,Derby County,3:00pm, Saturday 20th January 2024,LNER Stadium, Sky Bet League One
Derby County,Cheltenham Town,3:00pm, Saturday 27th January 2024,Pride Park Stadium, Sky Bet League One
Charlton Athletic,Derby County,3:00pm, Saturday 3rd February 2024,The Valley, Sky Bet League One
Derby County,Shrewsbury Town,3:00pm, Saturday 10th February 2024,Pride Park Stadium, Sky Bet League One
Exeter City,Derby County,7:45pm, Tuesday 13th February 2024,St James Park, Sky Bet League One
Derby County,Stevenage,3:00pm, Saturday 17th February 2024,Pride Park Stadium, Sky Bet League One
Barnsley,Derby County,3:00pm, Saturday 24th February 2024,Oakwell Stadium, Sky Bet League One
Derby County,Port Vale,3:00pm, Saturday 2nd March 2024,Pride Park Stadium, Sky Bet League One
Bristol Rovers,Derby County,3:00pm, Saturday 9th March 2024,Memorial Stadium, Sky Bet League One
Derby County,Reading,7:45pm, Tuesday 12th March 2024,Pride Park Stadium, Sky Bet League One
Derby County,Bolton Wanderers,3:00pm, Saturday 16th March 2024,Pride Park Stadium, Sky Bet League One
Northampton Town,Derby County,3:00pm, Saturday 23rd March 2024,PTS Academy Stadium, Sky Bet League One
Derby County,Blackpool,3:00pm, Friday 29th March 2024,Pride Park Stadium, Sky Bet League One
Portsmouth,Derby County,3:00pm, Monday 1st April 2024,Fratton Park, Sky Bet League One
Wycombe Wanderers,Derby County,3:00pm, Saturday 6th April 2024,Adams Park, Sky Bet League One
Derby County,Leyton Orient,3:00pm, Saturday 13th April 2024,Pride Park Stadium, Sky Bet League One
Cambridge United,Derby County,3:00pm, Saturday 20th April 2024,The Abbey Stadium, Sky Bet League One
Derby County,Carlisle United,3:00pm, Saturday 27th April 2024,Pride Park Stadium, Sky Bet League One
