Home Team,Away Team,Kick Off,Stadium,Competition,SkySportsURL
Derby County,Portsmouth,2023-09-16 15:00:00,Pride Park Stadium, Sky Bet League One,https://www.skysports.com/football/derby-county-vs-portsmouth/483683
Derby County,Lincoln City,2023-09-19 19:00:00,Pride Park Stadium, EFL Trophy Northern Group G,https://www.skysports.com/football/derby-county-vs-lincoln-city/495048
Carlisle United,Derby County,2023-09-23 15:00:00,Brunton Park, Sky Bet League One,https://www.skysports.com/football/carlisle-united-vs-derby-county/483699
Derby County,Cambridge United,2023-09-30 15:00:00,Pride Park Stadium, Sky Bet League One,https://www.skysports.com/football/derby-county-vs-cambridge-united/483707
Blackpool,Derby County,2023-10-03 19:45:00,Bloomfield Road, Sky Bet League One,https://www.skysports.com/football/blackpool-vs-derby-county/483718
Cheltenham Town,Derby County,2023-10-07 15:00:00,Whaddon Road Ground, Sky Bet League One,https://www.skysports.com/football/cheltenham-town-vs-derby-county/483733
Notts County,Derby County,2023-10-10 19:00:00,Meadow Lane, EFL Trophy Northern Group G,https://www.skysports.com/football/notts-county-vs-derby-county/495073
Derby County,Charlton Athletic,2023-10-14 15:00:00,Pride Park Stadium, Sky Bet League One,https://www.skysports.com/football/derby-county-vs-charlton-athletic/483747
Shrewsbury Town,Derby County,2023-10-21 15:00:00,Montgomery Waters Meadow, Sky Bet League One,https://www.skysports.com/football/shrewsbury-town-vs-derby-county/483764
Derby County,Exeter City,2023-10-24 19:45:00,Pride Park Stadium, Sky Bet League One,https://www.skysports.com/football/derby-county-vs-exeter-city/483771
Stevenage,Derby County,2023-10-28 15:00:00,Lamex Stadium, Sky Bet League One,https://www.skysports.com/football/stevenage-vs-derby-county/483788
Derby County,Northampton Town,2023-10-31 19:45:00,Pride Park Stadium, Sky Bet League One,https://www.skysports.com/football/derby-county-vs-northampton-town/483671
Derby County,Wolverhampton Wanderers U21,2023-11-07 19:00:00,Pride Park Stadium, EFL Trophy Northern Group G,https://www.skysports.com/football/derby-county-vs-wolverhampton-wanderers-u21/495089
Derby County,Barnsley,2023-11-11 15:00:00,Pride Park Stadium, Sky Bet League One,https://www.skysports.com/football/derby-county-vs-barnsley/483793
Reading,Derby County,2023-11-18 15:00:00,Select Car Leasing Stadium, Sky Bet League One,https://www.skysports.com/football/reading-vs-derby-county/483811
Derby County,Bristol Rovers,2023-11-25 15:00:00,Pride Park Stadium, Sky Bet League One,https://www.skysports.com/football/derby-county-vs-bristol-rovers/483817
Port Vale,Derby County,2023-11-28 19:45:00,Vale Park, Sky Bet League One,https://www.skysports.com/football/port-vale-vs-derby-county/483834
Leyton Orient,Derby County,2023-12-09 15:00:00,Breyer Group Stadium, Sky Bet League One,https://www.skysports.com/football/leyton-orient-vs-derby-county/483843
Derby County,Wycombe Wanderers,2023-12-16 15:00:00,Pride Park Stadium, Sky Bet League One,https://www.skysports.com/football/derby-county-vs-wycombe-wanderers/483855
Derby County,Lincoln City,2023-12-21 19:45:00,Pride Park Stadium, Sky Bet League One,https://www.skysports.com/football/derby-county-vs-lincoln-city/483868
Wigan Athletic,Derby County,2023-12-26 15:00:00,DW Stadium, Sky Bet League One,https://www.skysports.com/football/wigan-athletic-vs-derby-county/483885
Oxford United,Derby County,2023-12-29 19:45:00,The Kassam Stadium, Sky Bet League One,https://www.skysports.com/football/oxford-united-vs-derby-county/483893
Derby County,Peterborough United,2024-01-01 15:00:00,Pride Park Stadium, Sky Bet League One,https://www.skysports.com/football/derby-county-vs-peterborough-united/483904
Fleetwood Town,Derby County,2024-01-06 15:00:00,Highbury Stadium, Sky Bet League One,https://www.skysports.com/football/fleetwood-town-vs-derby-county/483914
Derby County,Burton Albion,2024-01-13 15:00:00,Pride Park Stadium, Sky Bet League One,https://www.skysports.com/football/derby-county-vs-burton-albion/483928
Lincoln City,Derby County,2024-01-20 15:00:00,LNER Stadium, Sky Bet League One,https://www.skysports.com/football/lincoln-city-vs-derby-county/483940
Derby County,Cheltenham Town,2024-01-27 15:00:00,Pride Park Stadium, Sky Bet League One,https://www.skysports.com/football/derby-county-vs-cheltenham-town/483951
