Home Team,Away Team,Kick Off,Stadium,Competition,SkySportsURL
Sheffield Wednesday,Ipswich Town,2023-09-16 15:00:00,Hillsborough, Sky Bet Championship,https://www.skysports.com/football/sheffield-wednesday-vs-ipswich-town/484771
Southampton,Ipswich Town,2023-09-19 19:45:00,St Mary's Stadium, Sky Bet Championship,https://www.skysports.com/football/southampton-vs-ipswich-town/484779
Ipswich Town,Blackburn Rovers,2023-09-23 15:00:00,Portman Road, Sky Bet Championship,https://www.skysports.com/football/ipswich-town-vs-blackburn-rovers/484788
Ipswich Town,Wolverhampton Wanderers,2023-09-26 19:45:00,Portman Road, Carabao Cup Round 3,https://www.skysports.com/football/ipswich-town-vs-wolverhampton-wanderers/498868
Huddersfield Town,Ipswich Town,2023-09-30 15:00:00,The John Smith's Stadium, Sky Bet Championship,https://www.skysports.com/football/huddersfield-town-vs-ipswich-town/484801
Ipswich Town,Hull City,2023-10-03 19:45:00,Portman Road, Sky Bet Championship,https://www.skysports.com/football/ipswich-town-vs-hull-city/484811
Ipswich Town,Preston North End,2023-10-07 15:00:00,Portman Road, Sky Bet Championship,https://www.skysports.com/football/ipswich-town-vs-preston-north-end/484825
Rotherham United,Ipswich Town,2023-10-21 15:00:00,New York Stadium, Sky Bet Championship,https://www.skysports.com/football/rotherham-united-vs-ipswich-town/484841
Bristol City,Ipswich Town,2023-10-25 19:45:00,Ashton Gate Stadium, Sky Bet Championship,https://www.skysports.com/football/bristol-city-vs-ipswich-town/484853
Ipswich Town,Plymouth Argyle,2023-10-28 15:00:00,Portman Road, Sky Bet Championship,https://www.skysports.com/football/ipswich-town-vs-plymouth-argyle/484862
Birmingham City,Ipswich Town,2023-11-04 15:00:00,St Andrew's Stadium, Sky Bet Championship,https://www.skysports.com/football/birmingham-city-vs-ipswich-town/484870
Ipswich Town,Swansea City,2023-11-11 15:00:00,Portman Road, Sky Bet Championship,https://www.skysports.com/football/ipswich-town-vs-swansea-city/484886
West Bromwich Albion,Ipswich Town,2023-11-25 15:00:00,The Hawthorns, Sky Bet Championship,https://www.skysports.com/football/west-bromwich-albion-vs-ipswich-town/484905
Ipswich Town,Millwall,2023-11-29 19:45:00,Portman Road, Sky Bet Championship,https://www.skysports.com/football/ipswich-town-vs-millwall/484913
Ipswich Town,Coventry City,2023-12-02 15:00:00,Portman Road, Sky Bet Championship,https://www.skysports.com/football/ipswich-town-vs-coventry-city/484921
Middlesbrough,Ipswich Town,2023-12-09 15:00:00,Riverside Stadium, Sky Bet Championship,https://www.skysports.com/football/middlesbrough-vs-ipswich-town/484935
Watford,Ipswich Town,2023-12-12 19:45:00,Vicarage Road, Sky Bet Championship,https://www.skysports.com/football/watford-vs-ipswich-town/484947
Ipswich Town,Norwich City,2023-12-16 15:00:00,Portman Road, Sky Bet Championship,https://www.skysports.com/football/ipswich-town-vs-norwich-city/484957
Leeds United,Ipswich Town,2023-12-23 15:00:00,Elland Road, Sky Bet Championship,https://www.skysports.com/football/leeds-united-vs-ipswich-town/484968
Ipswich Town,Leicester City,2023-12-26 15:00:00,Portman Road, Sky Bet Championship,https://www.skysports.com/football/ipswich-town-vs-leicester-city/484983
Ipswich Town,Queens Park Rangers,2023-12-29 19:45:00,Portman Road, Sky Bet Championship,https://www.skysports.com/football/ipswich-town-vs-queens-park-rangers/484995
Stoke City,Ipswich Town,2024-01-01 15:00:00,Bet365 Stadium, Sky Bet Championship,https://www.skysports.com/football/stoke-city-vs-ipswich-town/485011
Ipswich Town,Sunderland,2024-01-13 15:00:00,Portman Road, Sky Bet Championship,https://www.skysports.com/football/ipswich-town-vs-sunderland/485019
Leicester City,Ipswich Town,2024-01-20 15:00:00,The King Power Stadium, Sky Bet Championship,https://www.skysports.com/football/leicester-city-vs-ipswich-town/485029
Ipswich Town,Rotherham United,2024-01-27 15:00:00,Portman Road, Sky Bet Championship,https://www.skysports.com/football/ipswich-town-vs-rotherham-united/485041
Preston North End,Ipswich Town,2024-02-03 15:00:00,Deepdale, Sky Bet Championship,https://www.skysports.com/football/preston-north-end-vs-ipswich-town/485056
Ipswich Town,West Bromwich Albion,2024-02-10 15:00:00,Portman Road, Sky Bet Championship,https://www.skysports.com/football/ipswich-town-vs-west-bromwich-albion/485066
Millwall,Ipswich Town,2024-02-14 19:45:00,The Den, Sky Bet Championship,https://www.skysports.com/football/millwall-vs-ipswich-town/485081
Swansea City,Ipswich Town,2024-02-17 15:00:00,Swanseacom Stadium, Sky Bet Championship,https://www.skysports.com/football/swansea-city-vs-ipswich-town/485096
Ipswich Town,Birmingham City,2024-02-24 15:00:00,Portman Road, Sky Bet Championship,https://www.skysports.com/football/ipswich-town-vs-birmingham-city/485102
Plymouth Argyle,Ipswich Town,2024-03-02 15:00:00,Home Park, Sky Bet Championship,https://www.skysports.com/football/plymouth-argyle-vs-ipswich-town/485116
Ipswich Town,Bristol City,2024-03-05 19:45:00,Portman Road, Sky Bet Championship,https://www.skysports.com/football/ipswich-town-vs-bristol-city/485125
