Home Team,Away Team,Kick Off,Stadium,Competition,SkySportsURL
Norwich City,Stoke City,2023-09-16 15:00:00,Carrow Road, Sky Bet Championship,https://www.skysports.com/football/norwich-city-vs-stoke-city/484768
Norwich City,Leicester City,2023-09-20 20:00:00,Carrow Road, Sky Bet Championship,https://www.skysports.com/football/norwich-city-vs-leicester-city/484784
Plymouth Argyle,Norwich City,2023-09-23 15:00:00,Home Park, Sky Bet Championship,https://www.skysports.com/football/plymouth-argyle-vs-norwich-city/484792
Fulham,Norwich City,2023-09-26 19:45:00,Craven Cottage, Carabao Cup Round 3,https://www.skysports.com/football/fulham-vs-norwich-city/498867
Norwich City,Birmingham City,2023-09-30 15:00:00,Carrow Road, Sky Bet Championship,https://www.skysports.com/football/norwich-city-vs-birmingham-city/484804
Swansea City,Norwich City,2023-10-04 19:45:00,Swanseacom Stadium, Sky Bet Championship,https://www.skysports.com/football/swansea-city-vs-norwich-city/484821
Coventry City,Norwich City,2023-10-07 15:00:00,The Coventry Building Society Arena, Sky Bet Championship,https://www.skysports.com/football/coventry-city-vs-norwich-city/484824
Norwich City,Leeds United,2023-10-21 15:00:00,Carrow Road, Sky Bet Championship,https://www.skysports.com/football/norwich-city-vs-leeds-united/484839
Norwich City,Middlesbrough,2023-10-24 19:45:00,Carrow Road, Sky Bet Championship,https://www.skysports.com/football/norwich-city-vs-middlesbrough/484849
Sunderland,Norwich City,2023-10-28 15:00:00,Stadium of Light, Sky Bet Championship,https://www.skysports.com/football/sunderland-vs-norwich-city/484868
Norwich City,Blackburn Rovers,2023-11-04 15:00:00,Carrow Road, Sky Bet Championship,https://www.skysports.com/football/norwich-city-vs-blackburn-rovers/484875
Cardiff City,Norwich City,2023-11-11 15:00:00,Cardiff City Stadium, Sky Bet Championship,https://www.skysports.com/football/cardiff-city-vs-norwich-city/484883
Norwich City,Queens Park Rangers,2023-11-25 15:00:00,Carrow Road, Sky Bet Championship,https://www.skysports.com/football/norwich-city-vs-queens-park-rangers/484899
Watford,Norwich City,2023-11-28 19:45:00,Vicarage Road, Sky Bet Championship,https://www.skysports.com/football/watford-vs-norwich-city/484911
Bristol City,Norwich City,2023-12-03 13:30:00,Ashton Gate Stadium, Sky Bet Championship,https://www.skysports.com/football/bristol-city-vs-norwich-city/484919
Norwich City,Preston North End,2023-12-09 15:00:00,Carrow Road, Sky Bet Championship,https://www.skysports.com/football/norwich-city-vs-preston-north-end/484936
Norwich City,Sheffield Wednesday,2023-12-13 19:45:00,Carrow Road, Sky Bet Championship,https://www.skysports.com/football/norwich-city-vs-sheffield-wednesday/484952
Ipswich Town,Norwich City,2023-12-16 15:00:00,Portman Road, Sky Bet Championship,https://www.skysports.com/football/ipswich-town-vs-norwich-city/484957
